"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1084","@regression E2E: Complete Checkout [Sauce Labs Backpack]","chromium","2026-06-27","passed","2026-06-27","Checkout Complete","checkoutComplete.spec.ts","",""
"","1042","@smoke Checkout-Step-Two Page: Validate Carts [Sauce Labs Backpack]","chromium","2026-06-27","passed","2026-06-27","Checkout Step Two","checkoutStepTwo.spec.ts","",""
"","630","@smoke Inventory Page: Verify Add to cart Functionality with Sauce Labs Backpack","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1047","Complete checkout with flow","chromium","2026-06-27","passed","2026-06-27","","checkoutFlow.spec.ts","",""
"","983","@smoke Validate going to the second checkout page without entering your information","chromium","2026-06-27","passed","2026-06-27","Checkout Step One","checkoutStepOne.spec.ts","",""
"","1238","@regression E2E: Complete Checkout [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt]","chromium","2026-06-27","passed","2026-06-27","Checkout Complete","checkoutComplete.spec.ts","",""
"","1301","@smoke Checkout-Step-One Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)]","chromium","2026-06-27","passed","2026-06-27","Checkout Step One","checkoutStepOne.spec.ts","",""
"","819","@regression With Username:problem_user and Password:secret_sauce","chromium","2026-06-27","passed","2026-06-27","Login > Login with valid user name and valid password","login.spec.ts","",""
"","1620","@smoke Verify Hamburger Menu Logout Functionality on the Inventory Page","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","911","@smoke Validate going back to Cart Page","chromium","2026-06-27","passed","2026-06-27","Checkout Step One","checkoutStepOne.spec.ts","",""
"","733","@smoke Verify Inventory Page Has the Title","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1610","@smoke Verify Hamburger Menu on the Inventory Page","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1214","@smoke Cart Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)]","chromium","2026-06-27","passed","2026-06-27","Cart","cart.spec.ts","",""
"","978","@smoke Cart Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt]","chromium","2026-06-27","passed","2026-06-27","Cart","cart.spec.ts","",""
"","1385","@smoke Checkout-Step-Two Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)]","chromium","2026-06-27","passed","2026-06-27","Checkout Step Two","checkoutStepTwo.spec.ts","",""
"","961","@smoke Checkout-Step-One Page: Validate Carts [Sauce Labs Backpack]","chromium","2026-06-27","passed","2026-06-27","Checkout Step One","checkoutStepOne.spec.ts","",""
"","1040","@smoke Inventory Page: Verify Add to cart Functionality with Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","694","@smoke Verify Footer Text on the Inventory Page","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1283","@smoke Inventory Page: Verify Add to cart Functionality with Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1355","@regression E2E: Complete Checkout [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt, Sauce Labs Fleece Jacket, Sauce Labs Onesie, Test.allTheThings() T-Shirt (Red)]","chromium","2026-06-27","passed","2026-06-27","Checkout Complete","checkoutComplete.spec.ts","",""
"","1152","@smoke Validate going back to Inventory Page from Checkout Complete page","chromium","2026-06-27","passed","2026-06-27","Checkout Complete","checkoutComplete.spec.ts","",""
"","780","@smoke Verify Items are sorted Z to A","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","740","@smoke Verify Items on Inventory Page Are Correct","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","869","@smoke Verify Items are sorted A to Z","chromium","2026-06-27","passed","2026-06-27","Inventory","inventory.spec.ts","",""
"","1113","@smoke Validate going back to Checkout Step One Page","chromium","2026-06-27","passed","2026-06-27","Checkout Step Two","checkoutStepTwo.spec.ts","",""
"","1193","@smoke Checkout-Step-Two Page: Validate Carts [Sauce Labs Backpack, Sauce Labs Bike Light, Sauce Labs Bolt T-Shirt]","chromium","2026-06-27","passed","2026-06-27","Checkout Step Two","checkoutStepTwo.spec.ts","",""
"","528","@regression With Username:visual_user and Password:blind","chromium","2026-06-27","passed","2026-06-27","Login > Login with valid user name and invalid password","login.spec.ts","",""
